Label,prompt
Crows Adopt Vulgarity, Vol. 4,Give ______ a chance! He'll grow on you!
Crows Adopt Vulgarity, Vol. 4,I am vengeance. I am the night. I am ______.
Crows Adopt Vulgarity, Vol. 4,I didn't have any plans for the weekend until I found ______ in the attic.
Crows Adopt Vulgarity, Vol. 4,I just filled my 1.5 TB hard drive with pictures of ______.
Crows Adopt Vulgarity, Vol. 4,I wanna put ______ in her!
Crows Adopt Vulgarity, Vol. 4,I was strangely proud when my kid asked Santa for _______.
Crows Adopt Vulgarity, Vol. 4,I'm ashamed to admit that I have traded sexual favors for ______.
Crows Adopt Vulgarity, Vol. 4,I've been ______ like eight times already.
Crows Adopt Vulgarity, Vol. 4,It was bound to happen. ______ has taken over the world.
Crows Adopt Vulgarity, Vol. 4,It's all fun and games until someone loses ______.
Crows Adopt Vulgarity, Vol. 4,It's never a bad time for ______!
Crows Adopt Vulgarity, Vol. 4,Rolling around at the speed of ______!
Crows Adopt Vulgarity, Vol. 4,Speak softly and carry ______.
Crows Adopt Vulgarity, Vol. 4,There's a convention for ______? Sign me up!
Crows Adopt Vulgarity, Vol. 4,What do I remind my parents of?
Crows Adopt Vulgarity, Vol. 4,What do Mumbo's magic words mean?
Crows Adopt Vulgarity, Vol. 4,What is the imminent threat to our nation's youth?
Crows Adopt Vulgarity, Vol. 4,What's my anti-boner?
Crows Adopt Vulgarity, Vol. 4,Why can't I sit down today?
Crows Adopt Vulgarity, Vol. 4,Why did I get kicked out of the house?
Crows Adopt Vulgarity, Vol. 4,Why was "Barney" cancelled?
