Label,prompt
Crows Adopt Vulgarity, Vol. 3,Ew. Taste this. Doesn't it taste like ______?
Crows Adopt Vulgarity, Vol. 3,I fell asleep watching HBO and woke up to ______ on my TV.
Crows Adopt Vulgarity, Vol. 3,I hope Rule 34 doesn't apply to ______.
Crows Adopt Vulgarity, Vol. 3,I snuck into the White House and I saw ______.
Crows Adopt Vulgarity, Vol. 3,I would be on board with Scientology if it weren't for ______.
Crows Adopt Vulgarity, Vol. 3,I'm always mindfucked by ______.
Crows Adopt Vulgarity, Vol. 3,It should be a goal of the human race to ensure that ______ never happens.
Crows Adopt Vulgarity, Vol. 3,More restaurants need ______ on the menu.
Crows Adopt Vulgarity, Vol. 3,PAGING DR. ______!!
Crows Adopt Vulgarity, Vol. 3,The children sprung from bed and ran down the stairs to find ______ under the christmas tree.
Crows Adopt Vulgarity, Vol. 3,The Comedy Central Roast of ______.
Crows Adopt Vulgarity, Vol. 3,The name of my sex tape is "______."
Crows Adopt Vulgarity, Vol. 3,The road to hell is paved with ______.
Crows Adopt Vulgarity, Vol. 3,The secret 11th Commandment is ______.
Crows Adopt Vulgarity, Vol. 3,We need to prioritize scientific research on ______.
Crows Adopt Vulgarity, Vol. 3,What was the blind orphan boy's favorite Christmas present?
Crows Adopt Vulgarity, Vol. 3,What's in the briefcase?
Crows Adopt Vulgarity, Vol. 3,When you get in a cab and it smells like ______.
Crows Adopt Vulgarity, Vol. 3,With great power comes ______.
Crows Adopt Vulgarity, Vol. 3,Yesterday I found ______ for sale on eBay.
