Label,response
Crows Adopt Vulgarity, Vol. 4,A 10-minute shit on company time.
Crows Adopt Vulgarity, Vol. 4,A bomb that will go off at any second.
Crows Adopt Vulgarity, Vol. 4,A carnivorous plant that only eats Asians.
Crows Adopt Vulgarity, Vol. 4,A Civil War reenactment gone horribly wrong.
Crows Adopt Vulgarity, Vol. 4,A Columbine High School reunion.
Crows Adopt Vulgarity, Vol. 4,A costly mistake.
Crows Adopt Vulgarity, Vol. 4,A crisp $20 bill.
Crows Adopt Vulgarity, Vol. 4,A crying stripper.
Crows Adopt Vulgarity, Vol. 4,A resting bitch face.
Crows Adopt Vulgarity, Vol. 4,A tombstone reading "Let Me Out."
Crows Adopt Vulgarity, Vol. 4,A van full of screaming children.
Crows Adopt Vulgarity, Vol. 4,A whale that's been declared obese.
Crows Adopt Vulgarity, Vol. 4,Accidentally leaving the price tag on expensive presents.
Crows Adopt Vulgarity, Vol. 4,Actually reading the terms and conditions.
Crows Adopt Vulgarity, Vol. 4,Angering a family of raccoons.
Crows Adopt Vulgarity, Vol. 4,Asking someone if they would like to "drink your no-no tea."
Crows Adopt Vulgarity, Vol. 4,ASL rap battles.
Crows Adopt Vulgarity, Vol. 4,Bashing in someone's face with a spiked bat.
Crows Adopt Vulgarity, Vol. 4,Beating someone else's kid for them.
Crows Adopt Vulgarity, Vol. 4,Being addicted to penis.
Crows Adopt Vulgarity, Vol. 4,Being forced to dissect your beloved pet.
Crows Adopt Vulgarity, Vol. 4,Being white in a situation where that's actually disadvantageous.
Crows Adopt Vulgarity, Vol. 4,Black Friday shoppers beating each other to death over -- and with -- $2 bath towels.
Crows Adopt Vulgarity, Vol. 4,Blaming the holidays for your weight problems.
Crows Adopt Vulgarity, Vol. 4,Chewbacca trimming his pubic hair.
Crows Adopt Vulgarity, Vol. 4,CoD: Cum on Dicks.
Crows Adopt Vulgarity, Vol. 4,Conspiracy theorists claiming that martial law is near.
Crows Adopt Vulgarity, Vol. 4,Cooking meth in a 16-foot RV.
Crows Adopt Vulgarity, Vol. 4,Drinking yourself into a coma at a Nevada brothel.
Crows Adopt Vulgarity, Vol. 4,Faking a terminal illness.
Crows Adopt Vulgarity, Vol. 4,Falling in love with your adopted sister.
Crows Adopt Vulgarity, Vol. 4,Fat Chris Pratt.
Crows Adopt Vulgarity, Vol. 4,Filming a street light on your phone.
Crows Adopt Vulgarity, Vol. 4,Finding Daddy's porn collection.
Crows Adopt Vulgarity, Vol. 4,Finger banging with the tampon still in.
Crows Adopt Vulgarity, Vol. 4,Fishing with dynamite.
Crows Adopt Vulgarity, Vol. 4,Floyd Mayweather's ego.
Crows Adopt Vulgarity, Vol. 4,Four shots of tequila.
Crows Adopt Vulgarity, Vol. 4,Getting stuck in traffic.
Crows Adopt Vulgarity, Vol. 4,Getting turned on when your parents spank you.
Crows Adopt Vulgarity, Vol. 4,Giving the finger to a policeman.
Crows Adopt Vulgarity, Vol. 4,Jacking off until your dick vomits.
Crows Adopt Vulgarity, Vol. 4,Killing all hostages.
Crows Adopt Vulgarity, Vol. 4,Making Napoleon Blown-apart jokes too soon after the Paris attacks.
Crows Adopt Vulgarity, Vol. 4,Men who do not get laid.
Crows Adopt Vulgarity, Vol. 4,Midget orgies.
Crows Adopt Vulgarity, Vol. 4,Parents that are too proud.
Crows Adopt Vulgarity, Vol. 4,Paris Hilton on too much cocaine.
Crows Adopt Vulgarity, Vol. 4,Pills that make your penis rock-hard.
Crows Adopt Vulgarity, Vol. 4,Pilots joining the mile-high-club while auto-pilot gets you home safe.
Crows Adopt Vulgarity, Vol. 4,Playing hide and seek better than Anne Frank.
Crows Adopt Vulgarity, Vol. 4,Rape victims making fun of virgins.
Crows Adopt Vulgarity, Vol. 4,Santa's lap.
Crows Adopt Vulgarity, Vol. 4,Sniffing on your father's underwear.
Crows Adopt Vulgarity, Vol. 4,Standing in the corner and rethinking your life choices.
Crows Adopt Vulgarity, Vol. 4,Suicide photobombers.
Crows Adopt Vulgarity, Vol. 4,Talking faster than a Thai hooker.
Crows Adopt Vulgarity, Vol. 4,Teasing zoo animals.
Crows Adopt Vulgarity, Vol. 4,Telling our child that "fist" can be a verb.
Crows Adopt Vulgarity, Vol. 4,That girl in elementary school that was obsessed with horses.
Crows Adopt Vulgarity, Vol. 4,That one annoying person who has to comment on every single card played.
Crows Adopt Vulgarity, Vol. 4,The ever increasing paranoia parents have for their children.
Crows Adopt Vulgarity, Vol. 4,The false hope given to the people of Africa.
Crows Adopt Vulgarity, Vol. 4,The Jonas Brothers.
Crows Adopt Vulgarity, Vol. 4,The magical gold-weaving spider that creates Donald Trump's hair every night.
Crows Adopt Vulgarity, Vol. 4,The proper way to pronounce "gif."
Crows Adopt Vulgarity, Vol. 4,The smooth asses of babies.
Crows Adopt Vulgarity, Vol. 4,Throwing silverware at a waitress.
Crows Adopt Vulgarity, Vol. 4,Urinating in a crowded pool.
Crows Adopt Vulgarity, Vol. 4,Using Amazon drones to send anthrax to politicians.
Crows Adopt Vulgarity, Vol. 4,When your mother whips the wooden spoon out.
Crows Adopt Vulgarity, Vol. 4,White people with dreads.
Crows Adopt Vulgarity, Vol. 4,Whoever actually spent money on this game.
Crows Adopt Vulgarity, Vol. 4,Y'all need Jesus.
Crows Adopt Vulgarity, Vol. 4,Your boyfriend's mysterious emotional breakdown.
