Label,response
Crows Adopt Vulgarity, Vol. 1,A 15-minute time-out in the Naughty Corner.
Crows Adopt Vulgarity, Vol. 1,A bottle of orphan tears.
Crows Adopt Vulgarity, Vol. 1,A sea lion engaged in a knife fight with a regular seal.
Crows Adopt Vulgarity, Vol. 1,A small boy raping a priest.
Crows Adopt Vulgarity, Vol. 1,A trail of rose pedals that leads to a sink full of dirty dishes.
Crows Adopt Vulgarity, Vol. 1,A very intimate Scoutmaster.
Crows Adopt Vulgarity, Vol. 1,A waterfall of period blood.
Crows Adopt Vulgarity, Vol. 1,A white van full of puppies and candy.
Crows Adopt Vulgarity, Vol. 1,Adopting stray toddlers.
Crows Adopt Vulgarity, Vol. 1,Banging your doppleganger.
Crows Adopt Vulgarity, Vol. 1,Barking and chasing a mailman as a full-grown adult.
Crows Adopt Vulgarity, Vol. 1,Beating a hipster.
Crows Adopt Vulgarity, Vol. 1,Becoming a cop to shoot black people for sport.
Crows Adopt Vulgarity, Vol. 1,Being forever chased by your shadow.
Crows Adopt Vulgarity, Vol. 1,Black lives matter.
Crows Adopt Vulgarity, Vol. 1,Black meat.
Crows Adopt Vulgarity, Vol. 1,Breaking your foot off in someone's ass.
Crows Adopt Vulgarity, Vol. 1,Bursting out laughing during a sexual harassment seminar.
Crows Adopt Vulgarity, Vol. 1,Catching your tit in the car door.
Crows Adopt Vulgarity, Vol. 1,Clubbing a baby seal.
Crows Adopt Vulgarity, Vol. 1,Directing your parents' sex tape.
Crows Adopt Vulgarity, Vol. 1,Eating C4 because you want to go out with "a bang."
Crows Adopt Vulgarity, Vol. 1,Explaining the rug burns on your 7-year-old daughter's forehead to the preacher.
Crows Adopt Vulgarity, Vol. 1,Flying an RC plane into a tall person as "practice."
Crows Adopt Vulgarity, Vol. 1,Fondling some balls.
Crows Adopt Vulgarity, Vol. 1,Freeing all the animals at the pet store.
Crows Adopt Vulgarity, Vol. 1,Getting a birthday card from your grandmother with no money inside.
Crows Adopt Vulgarity, Vol. 1,Giving someone a "love tap" with your car at 90 mph.
Crows Adopt Vulgarity, Vol. 1,Going into maximum overdrive.
Crows Adopt Vulgarity, Vol. 1,Happy pills.
Crows Adopt Vulgarity, Vol. 1,Hating gays because they're "weird" but liking lesbians because they're "sexy."
Crows Adopt Vulgarity, Vol. 1,Having a little too much fun.
Crows Adopt Vulgarity, Vol. 1,Having more hair on your balls that on your head.
Crows Adopt Vulgarity, Vol. 1,Having more Oscars than Leonardo DiCaprio.
Crows Adopt Vulgarity, Vol. 1,Having sloppy sex as your dog watches.
Crows Adopt Vulgarity, Vol. 1,Holocaust: The Musical.
Crows Adopt Vulgarity, Vol. 1,Huffing paint.
Crows Adopt Vulgarity, Vol. 1,Jared's "footlong."
Crows Adopt Vulgarity, Vol. 1,JUST DO IT!
Crows Adopt Vulgarity, Vol. 1,Justin Bieber's favorite burger joint.
Crows Adopt Vulgarity, Vol. 1,Lacking a soul because you're a ginger.
Crows Adopt Vulgarity, Vol. 1,Loud Spanish yelling.
Crows Adopt Vulgarity, Vol. 1,Making eye contact with a stranger while eating a banana.
Crows Adopt Vulgarity, Vol. 1,Making it rain on them hoes.
Crows Adopt Vulgarity, Vol. 1,My big white van full of chloroformed children.
Crows Adopt Vulgarity, Vol. 1,My Magnum™ condom.
Crows Adopt Vulgarity, Vol. 1,Nuns with nice buns.
Crows Adopt Vulgarity, Vol. 1,Old white men dancing to "Hotline Bling" by Drake.
Crows Adopt Vulgarity, Vol. 1,Orphans genetically engineered to explode when loved.
Crows Adopt Vulgarity, Vol. 1,Playing Jenga on 9/11.
Crows Adopt Vulgarity, Vol. 1,Porkin' Miss Piggy.
Crows Adopt Vulgarity, Vol. 1,Pre-teen girls that dress like whores.
Crows Adopt Vulgarity, Vol. 1,Pretending you are a wizard all the time.
Crows Adopt Vulgarity, Vol. 1,Pushing a double amputee down a flight of stairs.
Crows Adopt Vulgarity, Vol. 1,Putting sperm in the soap dispenser.
Crows Adopt Vulgarity, Vol. 1,Replacing someone's birth control pills with tic tacs®.
Crows Adopt Vulgarity, Vol. 1,Riding with Ray Rice in an elevator.
Crows Adopt Vulgarity, Vol. 1,Selling your baby during Black Friday.
Crows Adopt Vulgarity, Vol. 1,Sex noises echoing from a tennis match.
Crows Adopt Vulgarity, Vol. 1,Shot putting a 12-pound metal ball into a crowd and making it look like an accident.
Crows Adopt Vulgarity, Vol. 1,Stimulating her economy.
Crows Adopt Vulgarity, Vol. 1,Switching your diabetic friend's insulin with heroin.
Crows Adopt Vulgarity, Vol. 1,Taking a joyride … through a playground.
Crows Adopt Vulgarity, Vol. 1,Terabytes of porn.
Crows Adopt Vulgarity, Vol. 1,That "O" face.
Crows Adopt Vulgarity, Vol. 1,That awkward moment when you realize your three-way has no vagina.
Crows Adopt Vulgarity, Vol. 1,That black guy that always dies first in the movies.
Crows Adopt Vulgarity, Vol. 1,That chick I was really into in high school that now has two kids and a waistline the size of Idaho.
Crows Adopt Vulgarity, Vol. 1,The people of Walmart.
Crows Adopt Vulgarity, Vol. 1,The terrifying sex moans of a deaf woman.
Crows Adopt Vulgarity, Vol. 1,The thug life.
Crows Adopt Vulgarity, Vol. 1,The wrong hole.
Crows Adopt Vulgarity, Vol. 1,Using a middle school water fountain as a bidet.
Crows Adopt Vulgarity, Vol. 1,Using a taser to make your child stop crying.
Crows Adopt Vulgarity, Vol. 1,Using little children as human shields.
Crows Adopt Vulgarity, Vol. 1,When you're blowing a guy and you realize he's a faggot.
