Label,prompt
Crows Adopt Vulgarity, Vol. 1,Anonymous's next target? ______.
Crows Adopt Vulgarity, Vol. 1,Finding ______ in your bed the next morning.
Crows Adopt Vulgarity, Vol. 1,I couldn't help but give a buck to the homeless guy with the sign: "Will work for ______."
Crows Adopt Vulgarity, Vol. 1,I discovered my son was gay when I found a magazine about ______ in his bedroom.
Crows Adopt Vulgarity, Vol. 1,I get off to ______ everyday.
Crows Adopt Vulgarity, Vol. 1,I have one simple request: ______.
Crows Adopt Vulgarity, Vol. 1,I would learn Japanese specifically for ______.
Crows Adopt Vulgarity, Vol. 1,I'm having difficulty finding a college that will allow me to pursue a degree in ______.
Crows Adopt Vulgarity, Vol. 1,Making love to the person reading this card is like ______.
Crows Adopt Vulgarity, Vol. 1,Nothing says true love quite like ______.
Crows Adopt Vulgarity, Vol. 1,Oh no! ______! My only weakness!
Crows Adopt Vulgarity, Vol. 1,Six Flags' new thrill ride lets you experience ______ at 120 miles per hour.
Crows Adopt Vulgarity, Vol. 1,Taylor Swift's most recent boyfriend: ______.
Crows Adopt Vulgarity, Vol. 1,That time you got drunk and accidentally told your boss about your ______ fetish.
Crows Adopt Vulgarity, Vol. 1,The latest 20/20 episode: The War on ______.
Crows Adopt Vulgarity, Vol. 1,We broke up after I found his stash of ______.
Crows Adopt Vulgarity, Vol. 1,What killed Mister Rogers?
Crows Adopt Vulgarity, Vol. 1,When you ask for a raise and get ______ instead.
Crows Adopt Vulgarity, Vol. 1,When you're hammered AF and think ______ is a good idea.
Crows Adopt Vulgarity, Vol. 1,You can only save the world with ______!
