Label,response
Crows Adopt Vulgarity, Vol. 3,A box with magazines containing strong pornography.
Crows Adopt Vulgarity, Vol. 3,A Canadian tuxedo.
Crows Adopt Vulgarity, Vol. 3,A Diet Coke that tastes like balls are in it.
Crows Adopt Vulgarity, Vol. 3,A fridge festooned with nude photos of every family member.
Crows Adopt Vulgarity, Vol. 3,A good old-fashioned skullfucking.
Crows Adopt Vulgarity, Vol. 3,A hilarious failed suicide attempt.
Crows Adopt Vulgarity, Vol. 3,A Holocaust blooper reel.
Crows Adopt Vulgarity, Vol. 3,A horny hive mind.
Crows Adopt Vulgarity, Vol. 3,A male figure skater with a massive bulge.
Crows Adopt Vulgarity, Vol. 3,A monkey fucking a coconut.
Crows Adopt Vulgarity, Vol. 3,A negative HIV test bought on Amazon.
Crows Adopt Vulgarity, Vol. 3,A Norwegian-style sweater with a cute reindeer swastika pattern.
Crows Adopt Vulgarity, Vol. 3,A sprinkle of the finest crystal meth on the eyeballs.
Crows Adopt Vulgarity, Vol. 3,A toothless hooker.
Crows Adopt Vulgarity, Vol. 3,A touching moment between a wealthy old woman and her Mexican gardener.
Crows Adopt Vulgarity, Vol. 3,A water pistol loaded with LSD.
Crows Adopt Vulgarity, Vol. 3,All this weed I found.
Crows Adopt Vulgarity, Vol. 3,An acute heroin addiction.
Crows Adopt Vulgarity, Vol. 3,Another goddamn virus from surfing questionable porn.
Crows Adopt Vulgarity, Vol. 3,Anyone that isn't me.
Crows Adopt Vulgarity, Vol. 3,Asking your best friend to hold your cock at the urinal so you can keep watching funny cat videos.
Crows Adopt Vulgarity, Vol. 3,Being bullied by a small child.
Crows Adopt Vulgarity, Vol. 3,Being one bad motherfucker.
Crows Adopt Vulgarity, Vol. 3,Beliebiers.
Crows Adopt Vulgarity, Vol. 3,Bottomless mimosas.
Crows Adopt Vulgarity, Vol. 3,Bringing five thousand $1 bills to a seventh-grade beauty pageant.
Crows Adopt Vulgarity, Vol. 3,Britney Spears circa 2007.
Crows Adopt Vulgarity, Vol. 3,Building a wall and making the Mexicans pay for it.
Crows Adopt Vulgarity, Vol. 3,Cajuns.
Crows Adopt Vulgarity, Vol. 3,Capitalism.
Crows Adopt Vulgarity, Vol. 3,CHICKENFUCKER!
Crows Adopt Vulgarity, Vol. 3,Coffee so black that it starts picking cotton.
Crows Adopt Vulgarity, Vol. 3,Doing karate in the garage.
Crows Adopt Vulgarity, Vol. 3,Donald Trump's third nipple.
Crows Adopt Vulgarity, Vol. 3,Dried-up pulverized spunk.
Crows Adopt Vulgarity, Vol. 3,Dropping the soap.
Crows Adopt Vulgarity, Vol. 3,Elton John's sunglass collection.
Crows Adopt Vulgarity, Vol. 3,Falling and not being able to get back up.
Crows Adopt Vulgarity, Vol. 3,Getting really high with your pet dog.
Crows Adopt Vulgarity, Vol. 3,Giving a coat hanger as a gift at a baby shower.
Crows Adopt Vulgarity, Vol. 3,Going to Hell.
Crows Adopt Vulgarity, Vol. 3,Harajuku Girl prostitutes.
Crows Adopt Vulgarity, Vol. 3,Having a pulse and being fuckable.
Crows Adopt Vulgarity, Vol. 3,I refuse to dignify that with a response.
Crows Adopt Vulgarity, Vol. 3,Ignorance and self-righteousness.
Crows Adopt Vulgarity, Vol. 3,Justin Timberlake's cornrows.
Crows Adopt Vulgarity, Vol. 3,Killing a prostitute to get the money back.
Crows Adopt Vulgarity, Vol. 3,Killing someone.
Crows Adopt Vulgarity, Vol. 3,Kurt Cobain's shotgun.
Crows Adopt Vulgarity, Vol. 3,LOUD NOISES!
Crows Adopt Vulgarity, Vol. 3,No comment.
Crows Adopt Vulgarity, Vol. 3,Pulling a Mulan.
Crows Adopt Vulgarity, Vol. 3,Rape being perfectly acceptable as long as it was enjoyed by everyone.
Crows Adopt Vulgarity, Vol. 3,Resting your balls on the dining room table.
Crows Adopt Vulgarity, Vol. 3,Rubbing Oprah's belly until it falls asleep.
Crows Adopt Vulgarity, Vol. 3,Screaming at a deaf child.
Crows Adopt Vulgarity, Vol. 3,Sexy sport tops.
Crows Adopt Vulgarity, Vol. 3,Shooting amateur porn at the retirement home.
Crows Adopt Vulgarity, Vol. 3,Slapping strangers in the face with a porterhouse steak.
Crows Adopt Vulgarity, Vol. 3,Some band you've never heard of.
Crows Adopt Vulgarity, Vol. 3,Steve Buscemi and Rebel Wilson's love child.
Crows Adopt Vulgarity, Vol. 3,Sucking on an elf's surprisingly large candy cane.
Crows Adopt Vulgarity, Vol. 3,Taking a dump in a ball pit.
Crows Adopt Vulgarity, Vol. 3,The ability known as "retardation."
Crows Adopt Vulgarity, Vol. 3,The alpha male.
Crows Adopt Vulgarity, Vol. 3,The awkwardness of third wheels.
Crows Adopt Vulgarity, Vol. 3,The Foo Fighters.
Crows Adopt Vulgarity, Vol. 3,The last US citizen who is not disturbingly obese.
Crows Adopt Vulgarity, Vol. 3,The Pillsbury Doughboy blowing his load all over a toaster strudel.
Crows Adopt Vulgarity, Vol. 3,The pure shock of finding out your daughter is pregnant … and the baby is yours.
Crows Adopt Vulgarity, Vol. 3,Tyra Bank's fat years.
Crows Adopt Vulgarity, Vol. 3,Umbilical-cord handcuffs.
Crows Adopt Vulgarity, Vol. 3,Voting for Trump.
Crows Adopt Vulgarity, Vol. 3,William Shatner speaking fluently.
